"","x"
"1",0.0481701791286469
"2",0.0332895368337631
"3",0.0256903767585754
"4",0.0381156466901302
"5",0.0456618778407574
"6",0.0208379756659269
"7",0.0184276774525642
"8",0.0218943282961845
"9",0.0226714257150888
"10",0.0282499045133591
"11",0.0260765384882689
"12",0.0171732269227505
"13",0.0214488077908754
"14",0.0262879002839327
"15",0.0358050242066383
"16",0.059944711625576
"17",0.0585369542241096
"18",0.0583000406622887
"19",0.0582681968808174
"20",0.0854310542345047
"21",0.124161206185818
"22",0.114249311387539
"23",0.101277887821198
"24",0.105726838111877
"25",0.0943923592567444
"26",0.0820470973849297
"27",0.074256919324398
"28",0.0709660947322845
"29",0.0711424350738525
"30",0.0693410560488701
"31",0.0485804080963135
"32",0.045260839164257
"33",0.0494463704526424
"34",0.0347131937742233
"35",0.033211175352335
"36",0.0443089045584202
"37",0.0656249597668648
"38",0.0485182404518127
"39",0.0423249751329422
"40",0.0311447400599718
"41",0.0293248351663351
"42",0.0356326550245285
"43",0.0456258431077003
"44",0.0590979233384132
"45",0.03791793435812
"46",0.0305539909750223
"47",0.0221024993807077
"48",0.0214528609067202
"49",0.0268581975251436
"50",0.0320460833609104
"51",0.0403293780982494
"52",0.053038164973259
"53",0.0914082527160645
"54",0.125506386160851
"55",0.136923119425774
"56",0.0421061515808105
"57",0.0252257566899061
"58",0.026618579402566
"59",0.0228850394487381
"60",0.0230226777493954
"61",0.0246235746890306
"62",0.0261096283793449
"63",0.0302938483655453
"64",0.0365829542279243
"65",0.0440001264214516
"66",0.204162448644638
"67",0.0332427695393562
"68",0.0271925367414951
"69",0.0303691420704126
"70",0.02914715744555
"71",0.0247404258698225
"72",0.0241088978946209
"73",0.0224671550095081
"74",0.0297898501157761
"75",0.0328355208039284
"76",0.0403323881328106
"77",0.0398288555443287
"78",0.0351333916187286
"79",0.0365439429879189
"80",0.0330692119896412
"81",0.0271766502410173
"82",0.0233857035636902
"83",0.0271077249199152
"84",0.0376721955835819
"85",0.0410673245787621
"86",0.0475434139370918
"87",0.0486299246549606
"88",0.0427862778306007
"89",0.0371779687702656
"90",0.0268912762403488
"91",0.0216903891414404
"92",0.0262257251888514
"93",0.0398293733596802
"94",0.0472738072276115
"95",0.0556168369948864
"96",0.0540327988564968
"97",0.0641854405403137
"98",0.0534172877669334
"99",0.0395066924393177
"100",0.0242980178445578
"101",0.0176183227449656
"102",0.0230660066008568
"103",0.0329808704555035
"104",0.042189683765173
"105",0.0493947193026543
"106",0.0509886555373669
"107",0.0561112090945244
"108",0.0446868613362312
"109",0.026806415989995
"110",0.0161288660019636
"111",0.0193599313497543
"112",0.0246345978230238
"113",0.0338175036013126
"114",0.0350692383944988
"115",0.035770159214735
"116",0.0428137481212616
"117",0.0292227305471897
"118",0.0152743710204959
"119",0.0155696533620358
"120",0.0186185948550701
"121",0.0290587972849607
"122",0.0279890689998865
"123",0.0279595255851746
"124",0.0362121649086475
"125",0.0360158234834671
"126",0.0238177012652159
"127",0.0281625874340534
"128",0.0367289111018181
"129",0.0429441928863525
"130",0.0390545651316643
"131",0.036256268620491
"132",0.0411579497158527
"133",0.334206432104111
"134",0.327685058116913
"135",0.287548154592514
"136",0.256277769804001
"137",0.21085861325264
"138",0.245160132646561
"139",0.301966667175293
"140",0.330385744571686
"141",0.322326272726059
"142",0.300059109926224
"143",0.278192579746246
"144",0.27723702788353
"145",0.279361039400101
"146",0.311958461999893
"147",0.307623118162155
"148",0.295591920614243
"149",0.274185299873352
"150",0.27444726228714
"151",0.279572576284409
"152",0.252135068178177
"153",0.297921657562256
"154",0.300482183694839
"155",0.292519629001617
"156",0.266728699207306
"157",0.260648906230927
"158",0.264543235301971
"159",0.254525601863861
"160",0.295103162527084
"161",0.291839420795441
"162",0.278880298137665
"163",0.255301624536514
"164",0.253705233335495
"165",0.255349963903427
"166",0.267243653535843
"167",0.267562180757523
"168",0.302889317274094
"169",0.294733494520187
"170",0.277454167604446
"171",0.25842958688736
"172",0.259828627109528
"173",0.263521492481232
"174",0.281350284814835
"175",0.300529986619949
"176",0.27308514714241
"177",0.30646875500679
"178",0.301276594400406
"179",0.285473614931107
"180",0.268414855003357
"181",0.26974892616272
"182",0.27536603808403
"183",0.277944773435593
"184",0.292702794075012
"185",0.294912546873093
"186",0.287578225135803
"187",0.0923100709915161
"188",0.259262949228287
"189",0.303432077169418
"190",0.311114966869354
"191",0.295076102018356
"192",0.282076895236969
"193",0.279267877340317
"194",0.286396741867065
"195",0.280556559562683
"196",0.288968980312347
"197",0.28775742650032
"198",0.285289824008942
"199",0.269859731197357
"200",0.266571879386902
"201",0.235680460929871
"202",0.282027989625931
"203",0.300049930810928
"204",0.294075697660446
"205",0.284432530403137
"206",0.279181867837906
"207",0.281173855066299
"208",0.274647623300552
