"","unique_id","aoi_pix","mn_spa_cvr","periods","na_periods","ts_mean","ts_max","p_mean_ovr","p_max_ovr","p_obs_ovr","region"
"49","030801021406",120,0.747049441786284,209,23,14.040610456082,242,0.00956937799043062,0.4688995215311,0.0473420153714774,"Florida"
"50","030801030101",19,0.823973810123395,209,21,29.7103184665781,225,0.0430622009569378,0.411483253588517,0.12041564792176,"Florida"
"51","030801030102",63,0.740183792815372,209,25,28.2764778777829,194,0.00956937799043062,0.61244019138756,0.100964498255695,"Florida"
"52","030801030304",656,0.730073520830902,209,23,53.6104430257569,247,0.162679425837321,0.851674641148325,0.283887468030691,"Florida"
"53","030801030501",8,0.824760765550239,209,29,11.7231150793651,219,0,0.22488038277512,0.056562726613488,"Florida"
"54","030801030502",90,0.776820839978735,209,23,20.0545127895805,218,0.00478468899521531,0.545454545454545,0.0730906104571585,"Florida"
"55","030801030503",4,0.812200956937799,209,36,19.6767822736031,193,0.0478468899521531,0.129186602870813,0.0795287187039764,"Florida"
"56","030801030504",6,0.818979266347687,209,27,10.724358974359,173,0.00478468899521531,0.0382775119617225,0.0107108081791626,"Florida"
"57","030801030601",22,0.775989560678556,209,31,21.1403212837436,180,0.00478468899521531,0.311004784688995,0.054652466367713,"Florida"
"58","030801030603",26,0.812108943687891,209,27,26.1995068166425,183,0.00478468899521531,0.569377990430622,0.123725356900068,"Florida"
"59","030801030903",6,0.834928229665072,209,28,20.3909760589319,179,0.0191387559808612,0.133971291866029,0.0487106017191977,"Florida"
"60","030802020201",25,0.845167464114833,209,23,44.6691472319411,230,0.114832535885167,0.688995215311005,0.240715579710145,"Florida"
"61","030901010101",36,0.763822434875066,209,21,14.1631179972463,196,0,0.425837320574163,0.050287106316339,"Florida"
"62","030901010103",80,0.778588516746411,209,21,20.8400708127723,194,0,0.578947368421053,0.0583038869257951,"Florida"
"63","030901010104",439,0.827598609279463,209,18,22.8634563959418,207,0.00478468899521531,0.813397129186603,0.0481082006505735,"Florida"
"64","030901010201",42,0.824105718842561,209,18,21.5070048908793,190,0,0.559808612440191,0.0794857616809511,"Florida"
"65","030901010202",70,0.806903622693096,209,20,22.6955196922568,207,0.0143540669856459,0.660287081339713,0.0836086404066074,"Florida"
"66","030901010301",28,0.806049213943951,209,22,35.9281324982696,204,0.0143540669856459,0.703349282296651,0.170871316514734,"Florida"
"67","030901010400",666,0.863248415879995,209,15,68.2925017018033,232,0.205741626794258,0.913875598086124,0.397673083164807,"Florida"
"68","030901010501",114,0.787668933098296,209,21,17.1417847731586,214,0,0.588516746411483,0.0553631374220707,"Florida"
"69","030901010503",4,0.840909090909091,209,27,29.0494505494506,197,0.0861244019138756,0.244019138755981,0.137980085348506,"Florida"
"70","030901010602",20,0.822248803827751,209,20,25.4196217738585,211,0.00956937799043062,0.497607655502392,0.0965958684899622,"Florida"
"71","030901010701",120,0.860805422647528,209,18,184.290300658415,230,0.904306220095694,0.904306220095694,0.983741720320534,"Florida"
"72","030901010802",96,0.866726475279107,209,18,179.887498423319,234,0.885167464114832,0.904306220095694,0.953364002300172,"Florida"
"73","030901010804",221,0.854315962675096,209,17,50.3747220762189,214,0.138755980861244,0.832535885167464,0.2454637607704,"Florida"
"74","030901010901",170,0.784154235857022,209,17,22.0791673747151,206,0,0.736842105263158,0.0688058576504792,"Florida"
"75","030901010903",58,0.772562283451576,209,22,23.6022522047321,192,0,0.511961722488038,0.0673785371062467,"Florida"
"76","030901010905",131,0.858358596004237,209,20,74.2914085989843,229,0.301435406698565,0.861244019138756,0.410237862218629,"Florida"
"77","030901011001",187,0.831205383414784,209,20,128.059024419255,234,0.636363636363636,0.880382775119617,0.722865234254756,"Florida"
"78","030901011002",27,0.852029062555378,209,25,10.628202979704,220,0,0.267942583732057,0.0438851913477537,"Florida"
"79","030901011102",71,0.821955657389312,209,20,25.4529246269296,222,0.0191387559808612,0.574162679425837,0.0795277527260802,"Florida"
"80","030901011103",1243,0.857021329011844,209,17,73.6580175117361,221,0.253588516746411,0.91866028708134,0.426781888494136,"Florida"
"81","030901011201",178,0.811166066340519,209,18,25.8732924384806,215,0.0143540669856459,0.69377990430622,0.0630944096497332,"Florida"
"82","030901011202",10,0.844976076555024,209,21,56.425871749409,215,0.0669856459330144,0.722488038277512,0.291053227633069,"Florida"
"83","030901011203",18,0.850345560871877,209,20,93.209210108113,233,0.507177033492823,0.784688995215311,0.476398874648328,"Florida"
"84","030901011204",299,0.847834088108688,209,18,81.8246207664078,233,0.330143540669856,0.894736842105263,0.489543618587445,"Florida"
"85","030901011301",168,0.819862155388471,209,17,26.0672321784159,211,0.00478468899521531,0.717703349282297,0.0928196755479904,"Florida"
"86","030901011302",161,0.836399298641862,209,20,110.626395141548,226,0.607655502392344,0.894736842105263,0.680891131324616,"Florida"
"87","030901011303",54,0.835016835016835,209,20,17.6949767704571,199,0,0.578947368421053,0.0602716468590832,"Florida"
"88","030901011304",129,0.804384110381662,209,22,38.435681408382,212,0.0909090909090909,0.746411483253589,0.182874533130447,"Florida"
"89","030901011701",144,0.743088782562467,209,23,27.5709129172508,229,0,0.842105263157895,0.105705598282955,"Florida"
"90","030901011702",16,0.8125,209,26,15.3330111145685,191,0,0.282296650717703,0.0456385719543614,"Florida"
"91","030901011703",249,0.776656866701255,209,16,34.4031903204489,226,0.0334928229665072,0.84688995215311,0.15490622989757,"Florida"
"92","030901011704",4,0.844497607655502,209,27,22.3365384615385,172,0.0239234449760766,0.196172248803828,0.0920679886685552,"Florida"
"93","030901011801",40,0.801674641148325,209,26,20.9023834108449,210,0,0.578947368421053,0.0922112802148612,"Florida"
"94","030901011803",18,0.845295055821372,209,24,49.8038385056032,188,0.181818181818182,0.511961722488038,0.245911949685535,"Florida"
"95","030901011804",1006,0.858585330124516,209,16,99.5454797845579,224,0.54066985645933,0.909090909090909,0.62003866586159,"Florida"
"96","030902010200",15810,0.89216231020885,209,13,38.3323190429481,249,0.00478468899521531,0.937799043062201,0.140373878505259,"Florida"
"97","030902040202",49,0.851479347719949,209,20,130.386284400459,249,0.712918660287081,0.880382775119617,0.78302752293578,"Florida"
"98","030902060802",12,0.767942583732057,209,24,19.180444015444,202,0.0287081339712919,0.311004784688995,0.0747663551401869,"Florida"
"99","030902060803",11,0.849934754240974,209,18,2.42345821717549,134,0,0.0191387559808612,0.00255885363357216,"Florida"
