"","freq","freq_rank"
"85305",0.128097102046013,85305
"83512",0.114665269851685,83512
"101601",0.822176039218903,101601
"101783",0.838446378707886,101783
"87301",0.15260323882103,87301
"89516",0.190471231937408,89516
