"","unique_id","aoi_pix","mn_spa_cvr","periods","na_periods","ts_mean","ts_max","p_mean_ovr","p_max_ovr","p_obs_ovr","region"
"1",16661665,6,0.834928229665072,209,28,20.3909760589319,179,0.0191387559808612,0.133971291866029,0.0487106017191977,"Florida"
"2",16661857,22,0.775989560678556,209,31,21.1403212837436,180,0.00478468899521531,0.311004784688995,0.054652466367713,"Florida"
"3",16662239,4,0.833732057416268,209,34,10.9014285714286,219,0.0143540669856459,0.0909090909090909,0.0401721664275466,"Florida"
"4",16662267,6,0.818979266347687,209,27,10.724358974359,173,0.00478468899521531,0.0382775119617225,0.0107108081791626,"Florida"
"5",16665721,4,0.83133971291866,209,31,38.6128277153558,208,0.157894736842105,0.325358851674641,0.218705035971223,"Florida"
"6",10994689,4,0.848086124401914,209,26,31.1142987249545,186,0.0956937799043062,0.215311004784689,0.131170662905501,"Florida"
"7",16642706,23,0.814229249011858,209,22,29.1448928072636,184,0.00956937799043062,0.454545454545455,0.110373019928462,"Florida"
"8",16636112,357,0.825928457507405,209,22,156.385824486482,242,0.799043062200957,0.875598086124402,0.86883569979716,"Florida"
"9",16631288,6,0.799043062200957,209,35,19.6371647509579,194,0.00478468899521531,0.138755980861244,0.0469061876247505,"Florida"
"10",16632718,63,0.746715273031063,209,29,22.5901531710756,202,0.00478468899521531,0.449760765550239,0.0439381611065907,"Florida"
"11",10996843,27,0.799751905015063,209,24,26.9535810674557,219,0.0287081339712919,0.440191387559809,0.107245734544649,"Florida"
"12",16636164,8,0.837918660287081,209,29,188.567328042328,249,0.794258373205742,0.842105263157895,0.877944325481799,"Florida"
"13",16636168,700,0.837833219412167,209,21,156.16185059872,236,0.813397129186603,0.889952153110048,0.900199877625943,"Florida"
"14",10993179,261,0.865937047425251,209,19,167.38262844739,237,0.822966507177033,0.889952153110048,0.883986789736642,"Florida"
"15",166757602,656,0.730073520830902,209,23,53.6104430257569,247,0.162679425837321,0.851674641148325,0.283887468030691,"Florida"
"16",166757574,232,0.803270912390695,209,25,158.971439410965,246,0.684210526315789,0.827751196172249,0.797940897070528,"Florida"
"17",166757578,208,0.782526683842473,209,23,55.1093775114646,213,0.191387559808612,0.803827751196172,0.328767123287671,"Florida"
"18",166757576,159,0.767506244169601,209,23,12.4130966285171,242,0.00478468899521531,0.578947368421053,0.0423838463046461,"Florida"
"19",166757600,39,0.726659305606674,209,28,16.9853975473636,204,0,0.38755980861244,0.0384940064156677,"Florida"
"20",166757573,274,0.817657947123948,209,26,80.284716665384,247,0.244019138755981,0.861244019138756,0.455322057064753,"Florida"
"21",166757596,10,0.786602870813397,209,35,21.6901295384054,193,0.0143540669856459,0.296650717703349,0.0809002433090024,"Florida"
"22",10998421,90,0.756671982987772,209,24,19.4683529603097,218,0.0143540669856459,0.521531100478469,0.0603527014684185,"Florida"
"23",10996865,336,0.837434495329232,209,17,67.9122018834699,225,0.267942583732057,0.84688995215311,0.365273432186097,"Florida"
"24",16627416,4,0.82177033492823,209,34,21.3180952380952,205,0.0526315789473684,0.263157894736842,0.139737991266376,"Florida"
"25",16628014,4,0.814593301435407,209,33,11.5279356060606,191,0.0143540669856459,0.114832535885167,0.0543318649045521,"Florida"
"26",10988621,14,0.822624743677375,209,28,9.50019463348193,214,0.00478468899521531,0.186602870813397,0.0299127544661404,"Florida"
"27",10988623,12,0.804226475279107,209,27,20.8704392829393,178,0.00478468899521531,0.277511961722488,0.0644521566683193,"Florida"
"28",10988693,118,0.769929446111426,209,23,17.2847763165839,238,0.00478468899521531,0.550239234449761,0.0547714345902675,"Florida"
"29",10988775,1846,0.83087964666912,209,21,85.957206174254,247,0.392344497607655,0.880382775119617,0.48850935067771,"Florida"
"30",16631538,8,0.803827751196172,209,32,10.7154223836427,165,0,0.162679425837321,0.0446428571428571,"Florida"
"31",10988865,9,0.766081871345029,209,36,10.9799064134324,179,0,0.181818181818182,0.0451075641915337,"Florida"
"32",10988999,168,0.812143996354523,209,23,24.9689767815628,243,0.0191387559808612,0.837320574162679,0.112357974470473,"Florida"
"33",16697155,6,0.845295055821372,209,26,85.1225865209472,230,0.401913875598086,0.574162679425837,0.464150943396226,"Florida"
"34",10990355,4,0.801435406698565,209,30,15.885009310987,190,0.0382775119617225,0.148325358851675,0.0791044776119403,"Florida"
"35",10990393,18,0.841307814992026,209,23,15.2677158107898,224,0.0239234449760766,0.253588516746411,0.0584518167456556,"Florida"
"36",120052387,13,0.826278984173721,209,25,55.3704681942454,219,0.215311004784689,0.416267942583732,0.26815144766147,"Florida"
"37",10991931,29,0.784853984491008,209,27,25.3344269804824,188,0.00956937799043062,0.444976076555024,0.0760983813327728,"Florida"
"38",16630602,4,0.824162679425837,209,32,23.0546139359699,169,0.0287081339712919,0.148325358851675,0.0725689404934688,"Florida"
"39",16630838,142,0.827650111193477,209,25,156.422025608731,239,0.736842105263158,0.856459330143541,0.874526727191304,"Florida"
"40",10992235,4,0.826555023923445,209,30,10.8575418994413,169,0.00956937799043062,0.0478468899521531,0.0217076700434153,"Florida"
"41",10992413,32,0.823714114832536,209,26,20.1582300287753,192,0.0143540669856459,0.411483253588517,0.0869486295153385,"Florida"
"42",16631062,306,0.805407011289364,209,23,145.420773293926,228,0.732057416267943,0.851674641148325,0.862198839037838,"Florida"
"43",16631158,9,0.8160552897395,209,29,95.4771296296296,203,0.444976076555024,0.722488038277512,0.55114006514658,"Florida"
"44",10994087,4,0.851674641148325,209,27,30.5169413919414,202,0.0382775119617225,0.133971291866029,0.0716292134831461,"Florida"
